"College Code","Name of the College/Institution","University","State","District Name","Pincode","Institute Email","Institute Type","Accreditation Type","Accreditation Valid Upto","Status"
"19662            		  View Course","T. A. Pai Management Institute","Manipal University","Karnataka","Udupi","576104","tapmi@tapmi.edu.in","Private","NIRF","Not Available","Active"
"19663            		  View Course","Indian Institute of Management Kozhikode","Autonomous University","Kerala","Kozhikode","673570","pgpstaff2@iimk.ac.in","Government","NIRF","Not Available","Active"
"19664            		  View Course","Indian Institute of Management Indore","Autonomous Institute","Madhya Pradesh","Indore","453556","chairplacement@iimidr.ac.in","Government","NIRF","Not Available","Active"
"19665            		  View Course","Indian Institute of Forest Management","Autonomous Institute","Madhya Pradesh","Bhopal","462003","cao@iifm.ac.in","Government","NIRF","Not Available","Active"
"19666            		  View Course","S. P. Jain Institute of Management & Research","Autonomous Institute","Maharashtra","MUMBAI SUBURBAN","400058","spjicom@spjimr.org","Private","NIRF","Not Available","Active"
"19667            		  View Course","Symbiosis Institute of Business Management","Pune University","Maharashtra","Pune","412115","info@sibmpune.edu.in","Private","NIRF","Not Available","Active"
"19668            		  View Course","National Institute of Industrial Engineering","University of Mumbai","Maharashtra","Mumbai","400087","dean.sric@nitie.ac.in","Government","","Not Available","Active"
"19672            		  View Course","Indian Institute of Management Shillong","Autonomous Institute","Meghalaya","East Khasi Hills","793018","director@iimshillong.ac.in","Government","NIRF","Not Available","Active"
"19674            		  View Course","International Management Institute","All India Council for Technical Education","Odisha","Khordha","751003","imibhinfo@imibh.edu.in","Private","NIRF","Not Available","Active"
"19677            		  View Course","Indian Institute of Management Udaipur","Mohanlal Sukhadia University","Rajasthan","Udaipur","313001","finance.officer@iimu.ac.in","Government","NIRF","Not Available","Active"
"19678            		  View Course","Jaipuria Institute of Management","Deemed University","Rajasthan","Jaipur","302033","jaipur@jaipuria.ac.in","Private","NIRF","Not Available","Active"
"19679            		  View Course","IIHMR University","IIHMR University","Rajasthan","Jaipur","302029","iihmr@iihmr.edu.in","Private","NIRF","Not Available","Active"
"19680            		  View Course","Indian Institute of Management Tiruchirappalli","Autonomous Institute","Tamil Nadu","Tiruchirappalli","620024","dean-admin@iimtrichy.ac.in","Government","NIRF","Not Available","Active"
"19681            		  View Course","Indian Institute of Technology Madras","Autonomous Institute","Tamil Nadu","Chennai","600036","drcourses@iitm.ac.in","Government","NIRF","Not Available","Active"
"19682            		  View Course","Great Lakes Institute of Management","AUTONOMOUS UNIVERSITY","Tamil Nadu","Chennai","603102","info@greatlakes.edu.in","Private","NIRF","Not Available","Active"
"19687            		  View Course","Institute of Management Technology","AUTONOMOUS UNIVERSITY","Telangana","Hyderabad","501218","eatodir@imthyderabad.edu.in","Private","NIRF","Not Available","Active"
"19688            		  View Course","Indian Institute of Management Lucknow","AUTONOMOUS UNIVERSITY","Uttar Pradesh","Lucknow","226013","diroffice@iiml.ac.in","Government","NIRF","Not Available","Active"
"19690            		  View Course","Institute of Management Technology","Autonomous Institute","Uttar Pradesh","Ghaziabad","201001","pgdmexecutive@imt.edu","Private","NIRF","Not Available","Active"
"19691            		  View Course","Birla Institute of Management Technology","AUTONOMOUS UNIVERSITY","Uttar Pradesh","Sonbhadra","201306","ak.dey@bimtech.ac.in","Private","NIRF","Not Available","Active"
"19693            		  View Course","Jaipuria Isntitute of Management","Deemed University","Uttar Pradesh","Lucknow","226010","lucknow@jaipuria.ac.in","Private","NIRF","Not Available","Active"
"19695            		  View Course","Indian Institute of Management Kashipur","AUTONOMOUS UNIVERSITY","Uttarakhand","Udham Singh Nagar","244713","iimkpv@gmail.com","Government","NIRF","Not Available","Active"
"19696            		  View Course","Indian Institute of Management Calcutta","AUTONOMOUS UNIVERSITY","West Bengal","SOUTH 24 PARGANAS","700104","pgpchairperson@iimcal.ac.in","Government","NIRF","Not Available","Active"
"19697            		  View Course","International Management Institute Kolkata","All India Council for Technical Education","West Bengal","Kolkata","700027","admission.imik@rpsg.in","Private","NIRF","Not Available","Active"
"19699            		  View Course","National Law University","National Law University","Delhi","SOUTH WEST DELHI","110078","registrar@nludelhi.ac.in","Government","NIRF","Not Available","Active"
"19700            		  View Course","Indian Law Institute","Deemed University","Delhi","CENTRAL DELHI","110001","ili@ilidelhi.org","Government","NIRF","Not Available","Active"
"19701            		  View Course","Symbiosis Law School","Symbiosis Law School","Maharashtra","Pune","411014","slspinfo@symlaw.ac.in","Private","NIRF","Not Available","Active"
"19704            		  View Course","Institute of Liver and Biliary Sciences","Autonomous University","Delhi","SOUTH DELHI","110070","archanajipmer04@gmail.com","Government","NIRF","Not Available","Active"
"19705            		  View Course","Kasturba Medical College","Deemed University","Karnataka","UDUPI","576104","dean.kmc@manipal.edu","Private","NIRF","Not Available","Active"
"19706            		  View Course","JSS Medical College","JSS University","Karnataka","Mysore","570015","jssmc09@gmail.com","Private","NIRF","Not Available","Active"
"19707            		  View Course","Regional Institute of Medical Sciences","Manipur University","Manipur","Imphal West","795004","dean@rims.edu.in","Government","","Not Available","Active"
"19709            		  View Course","Dayanand Medical College","Baba Farid University of Health Sciences","Punjab","Ludhiana","141001","dmch_ldh@satyam.net.in","Private","NIRF","Not Available","Active"
"19710            		  View Course","Christian Medical College","Dr MGR Medical University","Tamil Nadu","Vellore","632004","pro@cmcvellore.ac.in","Private","NIRF","Not Available","Active"
"19714            		  View Course","Annamalai University","Annamalai University","Tamil Nadu","CUDDALORE","608002","auregr@ymail.com","Government","NIRF","Not Available","Active"
"19715            		  View Course","Sanjay Gandhi Postgraduate Institute of Medical Sciences","University of Lucknow","Uttar Pradesh","Lucknow","226014","director@sgpgi.ac.in","Government","NIRF","Not Available","Active"
"19717            		  View Course","King George`s Medical University","King George`s Medical University","Uttar Pradesh","Lucknow","226003","info@kgmcindia.edu","Government","NIRF","Not Available","Active"
"19718            		  View Course","Acharya Nagarjuna University College of Pharmaceutical Sciences","Acharya Nagarjuna University","Andhra Pradesh","Guntur","522510","pharma@nagarjunauniveristy.ac.in","Private","NIRF","Not Available","Active"
"19720            		  View Course","Sri Venkateswara College of Pharmacy","JAWAHARLAL TECHNOLOGICAL UNIVERSITY ANANTAPUR, ANANTHAPURAMU","Andhra Pradesh","Chittoor","517127","principal@svcop.in","Private","NIRF","Not Available","Active"
"19721            		  View Course","Raghavendra Institute of Pharmaceuatical Education & Research","Jawaharlal Nehru Technological University Anantapur","Andhra Pradesh","Anantapur","515721","riperatp@rediffmail.com","Private","NIRF","Not Available","Active"
"19725            		  View Course","Manipal College of Pharmaceutical Sciences","Manipal Academy of Higher Education, Manipal","Karnataka","Udupi","576104","office.mcops@manipal.edu","Private","NIRF","Not Available","Active"
"19726            		  View Course","JSS College of Pharmacy","JSS University.","Karnataka","Mysore","570015","registrar@jssuni.edu.in","Private","NIRF","Not Available","Active"
"19727            		  View Course","KLE College of Pharmacy","KLE University","Karnataka","Belgaum","590010","principal@klepharm.edu","Private","NIRF","Not Available","Active"
"19731            		  View Course","Poona College of Pharmacy","Bharati Vidyapeeth (Deemed to be University), Pune","Maharashtra","Pune","411038","pcp.bvu@gmail.com","Private","NIRF","Not Available","Active"
"19732            		  View Course","Bombay College of Pharmacy","University of Mumbai","Maharashtra","MUMBAI SUBURBAN","400098","office@bcp.edu.in","Private","NIRF","Not Available","Active"
"19733            		  View Course","SVKM`s Dr. Bhanuben Nanavati College of Pharmacy","Universityof Mumbai","Maharashtra","MUMBAI SUBURBAN","400056","registrar@bncp.ac.in","Private","NIRF","Not Available","Active"
"19734            		  View Course","R. C. Patel Institute of Pharmaceutical Education & Research","North Maharashtra University","Maharashtra","Dhule","425405","registrar@rcpatelpharmacy.co.in","Private","NIRF","Not Available","Active"
"19735            		  View Course","Bharati Vidyapeeth`s College of Pharmacy","University of Mumbai","Maharashtra","Kolhapur","400614","copmumbai@bharatividyapeeth.edu","Private","NIRF","Not Available","Active"
"19737            		  View Course","Principal K.M. Kundanani College of Pharmacy","University of Mumbai","Maharashtra","MUMBAI","400005","kmkcp@rediffmail.com","Private","NIRF","Not Available","Active"
"19738            		  View Course","Vivekanand Education Society`s College of Pharmacy","University of Mumbai","Maharashtra","MUMBAI","400074","vespharm@yahoo.co.in.","Private","NIRF","Not Available","Active"
"19740            		  View Course","MVP Samaj`s College of Pharmacy","Savitribai Phule Pune University, Pune","Maharashtra","Nashik","422002","principal@mvpcpn.org","Private","NIRF","Not Available","Active"
"19743            		  View Course","JSS College of Pharmacy","JSS University","Tamil Nadu","NILGIRIS","643001","jsscpmy@jssuni.edu.in","Private","NIRF","Not Available","Active"
"19745            		  View Course","PSG College of Pharmacy","Tamil Nadu Dr. M.G.R. Medical University","Tamil Nadu","Coimbatore","641004","principal@psgpharma.ac.in","Private","NIRF","Not Available","Active"
"19748            		  View Course","Integral University","Integral University","Uttar Pradesh","Lucknow","226026","admission@iul.ac.in","Private","NAAC A+","2028-05-18","Active"
"19749            		  View Course","Guru Nanak Institute of Pharmaceutical Science & Technology","JIS University","West Bengal","Kolkata","700114","principal_gnipst@jisgroup.org","Private","NIRF","Not Available","Active"
"19754            		  View Course","NIFT - Delhi","Autonomous","Delhi","SOUTH WEST DELHI","110016","campusdirectordelhi@gmail.com","Government","","Not Available","Active"
"19755            		  View Course","NIFT - Mumbai","Autonomous","Maharashtra","Raigad","410210","director.mumbai@nift.ac.in","Government","","Not Available","Active"
"19756            		  View Course","NIFT - Bangalore","Autonomous","Karnataka","Bangalore Urban","560102","director.bengaluru@nift.ac.in","Government","","Not Available","Active"
"19757            		  View Course","NIFT - Gandhinagar","Autonomous","Gujarat","Gandhinagar","382007","director.gandhinagar@nift.ac.in","Government","","Not Available","Active"
"19758            		  View Course","NIFT - Hyderabad","AUTONOMOUS","Telangana","Hyderabad","500081","director.hyderabad@nift.ac.in","Government","","Not Available","Active"
"19759            		  View Course","NIFT - Chennai","Autonomous","Tamil nadu","Chennai","600113","director.chennai@nift.ac.in","Government","","Not Available","Active"
"19760            		  View Course","NIFT - Kolkata","Autonomous","West Bengal","Kolkata","700106","director.kolkata@nift.ac.in","Government","","Not Available","Active"
"19761            		  View Course","NIFT - Bhopal","Autonomous","Madhya Pradesh","Bhopal","462030","director.bhopal@nift.ac.in","Government","","Not Available","Active"
"19762            		  View Course","NIFT - Patna","Autonomous","Bihar","Patna","800001","jointdirector.patna@nift.ac.in","Government","","Not Available","Active"
"19763            		  View Course","NIFT - Kangra","Autonomous","Himachal Pradesh","Kangra","176001","director.kangra@nift.ac.in","Government","","Not Available","Active"
"19764            		  View Course","NIFT - Shillong","Autonomous","Meghalaya","SHILLONG","793012","nift.shillong@nift.ac.in","Government","","Not Available","Active"
"19765            		  View Course","NIFT - Bhubaneswar","Autonomous","Odisha","Khordha","751024","nift.bhubneswar@nift.ac.in","Government","","Not Available","Active"
"19766            		  View Course","NIFT - Rae Bareli","Autonomous","Uttar Pradesh","RAE BARELI","229010","director.raebareli@nift.ac.in","Government","","Not Available","Active"
"19767            		  View Course","NIFT - Jodhpur","Autonomous","Rajasthan","Jodhpur","342037","director.jodhpur@nift.ac.in","Government","","Not Available","Active"
"19768            		  View Course","NIFT - Kannur","Autonomous","Kerala","Kannur","670562","krishnakumar.mallaiyan@nift.ac.in","Government","","Not Available","Active"
"19812            		  View Course","Indian Institute of Technology Bombay","Autonomous University","Maharashtra","MUMBAI","400076","nandk@chem.iitb.ac.in","Government","NIRF","Not Available","Active"
"19822            		  View Course","National Institute of Technology Manipur","Autonomous University","Manipur","Manipur","795004","mayengbamsunil5@gmail.com","Government","NIRF","Not Available","Active"
"19836            		  View Course","National Institute of Technology Tiruchirappalli","Autonomous University","Tamil Nadu","Tiruchirappalli","620015","registrar@nitt.edu","Government","NIRF","Not Available","Active"
"19849            		  View Course","Indian Institute of Technology Hyderabad","Autonomous University","Telangana","Hyderabad","502284","dr.acad@iith.ac.in","Government","NIRF","Not Available","Active"
"19855            		  View Course","Indian Institute of Technology Kanpur","Autonomous University","Uttar Pradesh","Kanpur nagar","208016","aracad@iitk.ac.in","Government","NIRF","Not Available","Active"
"19870            		  View Course","National Institute of Technology","DEEMED UNIVERSITY","Bihar","Patna","800005","skverma@nitp.ac.in","Government","NIRF","Not Available","Active"
"19872            		  View Course","National Institute of Technology","Autonomous University","Madhya Pradesh","Bhopal","462003","pro@manit.ac.in","Government","NIRF","Not Available","Active"
"19876            		  View Course","National Institute of Technology","Autonomous University","Jammu and Kashmir","Srinagar","190006","deanacadaffairs@nitsri.net","Government","NIRF","Not Available","Active"
"19878            		  View Course","National Institute of Technology","Autonomous University","Andhra Pradesh","West Godavari","534101","admissions@nitandhra.ac.in","Government","NIRF","Not Available","Active"
"19879            		  View Course","National Institute of Technology","Autonomous University","Arunachal Pradesh","Papum Pare","791113","nitapadmin@nitap.ac.in","Government","NIRF","Not Available","Active"
"19880            		  View Course","National Institute of Technology","Autonomous University","Sikkim","SOUTH SIKKIM","737139","fiaa.nitsikkim@gmail.com","Government","NIRF","Not Available","Active"
"19881            		  View Course","National Institute of Technology","Autonomous University","Nagaland","Dimapur","797103","jpborah@rediffmail.com","Government","NIRF","Not Available","Active"
"19882            		  View Course","National Institute of Technology","Autonomous University","Mizoram","AIZAWL","796012","nit_mizoram@nitmz.ac.in","Government","NIRF","Not Available","Active"
"19883            		  View Course","National Institute of Technology","Autonomous University","Uttarakhand","PAURI GARHWAL","246174","nituttarakhand@gmail.com","Government","NIRF","Not Available","Active"
"19884            		  View Course","National Institute of Technology","Autonomous University","Delhi","NORTH WEST DELHI","110036","ar@nitdelhi.ac.in","Government","NIRF","Not Available","Active"
"19885            		  View Course","National Institute of Technology","Autonomous University","Puducherry","Karaikal","609609","registrar@nitpy.ac.in","Government","NIRF","Not Available","Active"
"19890            		  View Course","ABES ENGINEERING COLLEGE","Dr. A.P.J. Abdul Kalam Technical University","UTTAR PRADESH","GHAZIABAD","201009","madhur.saxena@abes.ac.in","Private","NAAC A","2027-04-25","Active"
"19899            		  View Course","AMC ENGINEERING COLLEGE","Visvesvaraya Technological University, Belgaum","KARNATAKA","Bangalore Urban","560083","principal@amcec.edu.in","Private","NBA","2025-06-30","Active"
"19907            		  View Course","Apeejay School of Management","AUTONOMOUS UNIVERSITY","DELHI","SOUTH WEST DELHI","110077","asm.dwk.del@apeejay.edu","Private","NBA","2025-06-30","Active"
"19915            		  View Course","B.P. PODDAR INSTITUTE OF MANAGEMENT & TECHNOLOGY","Maulana Abul Kalam Azad University of Technology, West Bengal","WEST BENGAL","KOLKATA","700052","info@bppimt.ac.in","Private","NBA","2025-06-30","Active"
"19918            		  View Course","Ballari Institute of Technology and Management","Visvesvaraya Technological University, Belgaum","Karnataka","Bellary","583104","bitmbly@gmail.com","Private","NBA","2025-06-30","Active"
"19924            		  View Course","BHARATI VIDYAPEETH COLLEGE OF ENGINEERING","Mumbai University","MAHARASHTRA","THANE","400614","principal.bvcoenm@bharatividyapeeth.edu","Private","NBA","2025-06-30","Active"
"19956            		  View Course","Fortune Institute of International Business","AUTONOMOUS UNIVERSITY","DELHI","NEW DELHI","110057","fiib@fiib.edu.in","Private","NBA","2025-06-30","Active"
"19960            		  View Course","G. L BAJAJ INSTITUTE OF TECHNOLOGY AND MANAGEMENT","Dr. A.P.J. Abdul Kalam Technical University","UTTAR PRADESH","Gautam Buddh Nagar","201306","registrar@glbitm.org","Private","NAAC A+","2028-12-20","Active"
"19963            		  View Course","G.H. Patel College of Engineering & Technology","The Charutar Vidya Mandal (CVM) University, Vallabh Vidyanagar","Gujarat","ANAND","388120","principal@gcet.ac.in","Private","NBA","2025-06-30","Active"
"19968            		  View Course","GHOUSIA COLLEGE OF ENGINEERING","Visvesvaraya Technological University, Belgaum","KARNATAKA","RAMANAGARA","562159","principal_gce@hotmail.com","Private","NBA","2025-06-30","Active"
"19985            		  View Course","INDIRA SCHOOL OF BUSINESS STUDIES","Savitribai Phule Pune University","MAHARASHTRA","PUNE","411033","admissions@indiraisbs.ac.in","Private","NBA","2025-06-30","Active"
"19993            		  View Course","International School of Management Excellence","Autonomous","KARNATAKA","Bangalore Urban","562125","principal@isme.in","Private","NBA","2025-06-30","Active"
"19997            		  View Course","JAIPUR ENGINEERING COLLEGE AND RESEARCH CENTRE","Rajasthan Technical University","RAJASTHAN","JAIPUR","302022","registrar@jecrc.ac.in","Private","NBA","2025-06-30","Active"
"20005            		  View Course","K. E. SOCIETY'S RAJARAMBAPU INSTITUTE OF TECHNOLOGY","Shivaji University","MAHARASHTRA","SANGLI","415414","director@ritindia.edu","Private","NBA","2025-06-30","Active"
"20009            		  View Course","K.J Somaiya Institute of  Engineering and  Information Technology","Mumbai University","MAHARASHTRA","MUMBAI","400022","info@tech.somaiya.edu","Private","NBA","2025-06-30","Active"
"20021            		  View Course","KUPPAM ENGINEERING COLLEGE","Jawaharlal Nehru Technological University Anantapur","ANDHRA PRADESH","Chittoor","517425","principal@kec.ac.in","Private","NAAC A","2029-01-03","Active"
"20029            		  View Course","Maharaja Agrasen Institute of Technology","Guru Gobind Singh Indraprastha University","DELHI","North West Delhi","110086","mait@mait.ac.in","Private","NBA","2025-06-30","Active"
"20034            		  View Course","MALLA REDDY ENGINEERING COLLEGE FOR WOMEN","Jawaharlal Nehru Technological University, Hyderabad","TELANGANA","Ranga Reddy","500100","adminmrecw@gmail.com.","Private","NBA","2025-06-30","Active"
"20042            		  View Course","MATRUSRI ENGINEERING COLLEGE","Osmania University","TELANGANA","Hyderabad","500059","principal@matrusri.edu.in","Private","NBA","2025-06-30","Active"
"20059            		  View Course","NEW HORIZON COLLEGE OF ENGINEERING","Visvesvaraya Technological University","KARNATAKA","Bangalore Urban","560103","registrar@newhorizonindia.edu","Private","NBA","Not Available","Active"
"20060            		  View Course","NIT POLYTECHNIC","Maharashtra State Board of Technical Education","MAHARASHTRA","NAGPUR","441501","1199principal@msbte.com","Private","NBA","2025-06-30","Active"
"20065            		  View Course","Pillai College of Engineering","Mumbai University","MAHARASHTRA","RAIGAD","410206","pce@mes.ac.in","Private","NBA","2025-06-30","Active"
"20067            		  View Course","PIMPRI CHINCHWAD EDUCATION TRUST's PIMPRI CHINCHWAD COLLEGE OF ENGINEERING","Savitribai Phule Pune University","MAHARASHTRA","PUNE","411044","pccoeadmin@gmail.com","Private","NBA","2025-06-30","Active"
"20076            		  View Course","R.M.K College of Engineering and Technology","Anna University, Chennai","Tamil Nadu","Tiruvallur","601206","principal@rmkcet.ac.in","Private","NBA","2025-06-30","Active"
"20096            		  View Course","SARANATHAN COLLEGE OF ENGINERING","Anna University, Chennai","TAMIL NADU","TIRUCHIRAPPALLI","620012","secretary@saranathan.ac.in","Private","NBA","2025-06-30","Active"
"20103            		  View Course","SHANTI EDUCATION SOCIETY'S A.G. PATIL POLYTECHNIC INSTITUTE","Maharashtra State Board of Technical Education, Mumbai","MAHARASHTRA","SOLAPUR","413008","agppi.contact@gmail.com","Private","NBA","2025-06-30","Active"
"20122            		  View Course","SRES Sanjivani College of Engineering","Savitribai Phule Pune University","MAHARASHTRA","Ahmednagar","423603","principalcoe@sanjivani.org.in","Private","NBA","2025-06-30","Active"
"20124            		  View Course","SRI KRISHNA COLLEGE OF TECHNOLOGY","Anna University, Chennai","TAMIL NADU","COIMBATORE","641008","info@skcet.ac.in","Private","NBA","2027-06-30","Active"
"20132            		  View Course","SRIDEVI WOMEN'S ENGINEERING COLLEGE","Jawaharlal Nehru Technological University, Hyderabad","TELANGANA","Ranga Reddy","500075","srideviengg@rediffmail.com.","Private","NBA","2025-06-30","Active"
"20135            		  View Course","ST. JOSEPH'S COLLEGE OF ENGINEERING","Anna University, Chennai","TAMIL NADU","Thanjavur","613403","jprstjosephs@stjosephs.ac.in","Private","NBA","2025-06-30","Active"
"20138            		  View Course","ST. THOMAS COLLEGE OF ENGINEERING AND TECHNOLOGY","Maulana Abul Kalam Azad University of Technology, West Bengal","WEST BENGAL","KOLKATA","700023","stcet@stcet.ac.in","Private","NBA","2025-06-30","Active"
"20155            		  View Course","THE INDIAN POLYTECHNIC COLLEGE","College of Directorate of Technical Education","TAMIL NADU","TIRUNELVELI","627116","info@rajas.edu","Private","NBA","2025-06-30","Active"
"20168            		  View Course","Vidya Vikas Pratishthan Polytechnic","Maharashtra State Board of Technical Education, Mumbai","MAHARASHTRA","SOLAPUR","413008","vvpps07@gmail.com","Private","NBA","2025-06-30","Active"
"20179            		  View Course","VSB College of Engineering Technical Campus","Anna University, Chennai","Tamil Nadu","Coimbatore","642109","admission@vsbcetc.com","Private","NBA","2025-06-30","Active"
"20189            		  View Course","ALLIANCE UNIVERSITY","Alliance University","Karnataka","Bangalore","562106","admissions@alliance.edu.in","Private","NIRF","Not Available","Active"
"20190            		  View Course","DR. SHYAMA PRASAD MUKHERJEE UNIVERSITY","State University","Jharkhand","Ranchi","834008","rcrprincipal@gmail.com","Government","","Not Available","Active"
"20191            		  View Course","NANHIPARI SEEMANT ENGINEERING INSTITUTE","Uttarakhand Technical University","Uttarakhand","Pithoragarh","262501","sitpithoragarh@gmail.com","Government","","Not Available","Active"
"20192            		  View Course","INDIRA GANDHI NATIONAL TRIBAL UNIVERSITY","INDIRA GANDHI NATIONAL TRIBAL UNIVERSITY","Madhya Pradesh","Anuppur","484887","RESISTER@IGNTU.AC.IN","Government","","Not Available","Active"
"20195            		  View Course","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY","Autonomous University","West Bengal","Nadia","741235","IIITKALYANI.OFFICE@GMAIL.COM","Government","","Not Available","Active"
"20196            		  View Course","State Institute of Hotel Management Catering Technology & Applied Nutrition , TIRUPATI","Indira Gandhi National Open University","Andhra Pradesh","Chittoor","517501","sihmtpt@gmail.com","Government","","Not Available","Active"
"20199            		  View Course","INSTITUTE OF HOTEL MANAGEMENT, FARIDABAD","Jawaharlal Nehru University, New Delhi/ NCHMCT, Noida, Indira Gandhi National Open University","Haryana","Faridabad","121001","ihmfaridabad@gmail.com","Government","","Not Available","Active"
"20200            		  View Course","INSTITUTE OF HOTEL MANAGEMENT, KURUKSHETRA","Indira Gandhi National Open University","Haryana","Kurukshetra","136119","principal@ihmkkr.com","Government","","Not Available","Active"
"20207            		  View Course","State Institute of Hotel Management Catering Technology & Applied Nutrition , KOZHIKODE","Indira Gandhi National Open University","Kerala","Kozhikode","673005","sihmcalicut@gmail.com","Government","","Not Available","Active"
"20211            		  View Course","STATE INSTITUTE OF HOTEL MANAGEMENT, INDORE","Indira Gandhi National Open University","Madhya Pradesh","Indore","453331","sihmindore@yahoo.com","Government","","Not Available","Active"
"20214            		  View Course","PONDICHERRY INSTITUTE OF HOTEL MANAGEMENT, MURUNGABAKKAM","Indira Gandhi National Open University","Puducherry","Pondicherry","605004","pihmct@rediffmail.com","Government","","Not Available","Active"
"20217            		  View Course","STATE INSTITUTE OF HOTEL MANAGEMENT, TIRUCHIRAPALLI","Indira Gandhi National Open University","Tamil Nadu","Tiruchirappalli","620015","sihmct1@gmail.com","Government","","Not Available","Active"
"20218            		  View Course","DR YSR NITHM, HYDERABAD","Indira Gandhi National Open University","Telangana","Hyderabad","500032","director.h@nithmacin","Government","","Not Available","Active"
"20219            		  View Course","STATE INSTITUTE OF HOTEL MANAGEMENT, MEDAK","Indira Gandhi National Open University","Telangana","Medak","502321","sihm.medak@gmail.com","Government","","Not Available","Active"
"20222            		  View Course","Indian Maritime University","CENTRAL UNIVERSITY OR INDIAN MARITIME UNIVERSITY","Kerala","Ernakulam","682029","director.kochi@imu.ac.in.","Government","","Not Available","Active"
"20223            		  View Course","Indian Maritime University","CENTRAL UNIVERSITY OR INDIAN MARITIME UNIVERSITY","West Bengal","Kolkata","700088","director.kolkata@imu.ac.in","Government","","Not Available","Active"
"20224            		  View Course","Indian Maritime University","CENTRAL UNIVERSITY OR INDIAN MARITIME UNIVERSITY","Maharashtra","Mumbai","400033","infolbs@imu.ac","Government","","Not Available","Active"
"20225            		  View Course","Indian Maritime University","CENTRAL UNIVERSITY OR INDIAN MARITIME UNIVERSITY","Andhra Pradesh","Visakhapatnam","531035","director.vizag@imu.ac.in","Government","","Not Available","Active"
"20226            		  View Course","Gurukula Kangri Vishwavidyalaya, Haridwar","Gurukula Kangri Vishwavidyalaya","Uttarakhand","Haridwar","249404","registrar@gkv.ac.in","Government","","Not Available","Active"
"20228            		  View Course","Institute of Infrastructure, Technology, Research and Management- Ahmedabad","Autonomous University","Gujarat","Ahmedabad","380026","office@iitram.ac.in","Government","","Not Available","Active"
"20229            		  View Course","Institute of Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur","Guru Ghasidas Vishwavidyalaya","Chhattisgarh","Bilaspur","495009","registrar@ggu.ac.in","Government","","Not Available","Active"
"20230            		  View Course","J.K. Institute of Applied Physics & Technology, Allahabad","Allahabad University","Uttar Pradesh","Allahabad","211002","admission.jkau@gmail.com","Government","","Not Available","Active"
"20231            		  View Course","National Institute of Electronics and Information Technology, Aurangabad","Dr. B.A.M. University","Maharashtra","Aurangabad","431004","dir-aurangabad@nielit.gov.in","Government","","Not Available","Active"
"20233            		  View Course","Sant Longowal Institute of Engineering and Technology","DEEMED TO BE UNIVERSITY","Punjab","Sangrur","148106","chairmanset@sliet.ac.in","Government","","Not Available","Active"
"20234            		  View Course","School of Engineering & Technology, Mizoram University, Aizawl","MIZORAM UNIVERSITY","Mizoram","Aizawl","796004","llksingh@yahoo.co.in","Government","","Not Available","Active"
"20235            		  View Course","School of Planning & Architecture, Bhopal","Autonomous University","Madhya Pradesh","Bhopal","462030","manishvzokarkar@spabhopal.ac.in","Government","","Not Available","Active"
"20236            		  View Course","School of Planning & Architecture, New Delhi","DEEMED UNIVERSITY","Delhi","New Delhi","110002","admission@spa.ac.in","Government","","Not Available","Active"
"20237            		  View Course","School of Planning & Architecture, Vijayawada","Autonomous University","Andhra Pradesh","Krishna","520008","admission@spav.ac.in","Government","","Not Available","Active"
"20239            		  View Course","Indian Institute of Engineering Science and Technology, Shibpur","Calcutta University/ Ministry of Human Resource Development, Govt. of India","West Bengal","Howrah","711103","asok@civil.iiests.ac.in","Government","","Not Available","Active"
"20251            		  View Course","Delhi Institute of Hotel Management Lajpat Nagar New Delhi","Indira Gandhi National Open University","New Delhi","South Delhi","110024","dihm.net@gmail.com","Government","","Not Available","Active"
"20253            		  View Course","Indian Institute of Management Bangalore","Central University","Karnataka","Bangalore Urban","560076","info@iimb.ac.in","Government","NIRF","Not Available","Active"
"20254            		  View Course","Alliance University","Alliance University","Karnataka","Bangalore Urban","562106","registrar@alliance.edu.in","Private","NIRF","Not Available","Active"
"20255            		  View Course","M. S. Ramaiah Medical College","Rajiv Gandhi University","Karnataka","Bangalore Urban","560054","msrmedical@msrmc.ac.in","Private","NIRF","Not Available","Active"
"20258            		  View Course","BMS College of Architecture","Visvesvaraya Technological University","Karnataka","Bangalore Urban","560019","admissions@bmsca.org","Private","NIRF","Not Available","Active"
"20259            		  View Course","Indian Maritime University","CENTRAL UNIVERSITY OR INDIAN MARITIME UNIVERSITY","Tamil Nadu","Chennai","600119","director.chennai@imu.ac.in","Government","","Not Available","Active"
"20262            		  View Course","MAEERS MIT ACADEMY OF ENGINEERING","Savitribai Phule Pune University","Maharashtra","Pune","412105","mitcoe@mitpune.com","Private","NBA","2025-06-30","Active"
"20265            		  View Course","SRI RAMAKRISHNA ENGINEERIING COLLEGE","Anna University, Chennai","Tamil Nadu","Coimbatore","641022","principal@srec.ac.in","Private","NBA","2025-06-30","Active"
"20268            		  View Course","VELAMMAL ENGINEERING COLLEGE","Anna University, Chennai","Tamil Nadu","Tiruvallur","600066","velammal@velammal.edu.in","Private","NBA","2025-06-30","Active"
